Comment,Designator,Footprint,LCSC
2.2uF 50V,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96",C_0805_2012Metric,C125847
100uF 50V,C110,CP_Elec_8x10,C134514
220uF 35V,"C101,C102,C103,C104",CP_Elec_8x10,C134820
100nF,"C121,C122,C123,C124,C125,C126",C_0603_1608Metric,C14663
AO3400A,Q1,SOT-23,C20917
1k,"R204,R205",R_0603_1608Metric,C21190
100R,R201,R_0603_1608Metric,C22775
STATUS blue,LED2,LED_0805_2012Metric,C2293
PWR green,LED1,LED_0805_2012Metric,C2297
4.7k,"R210,R211",R_0603_1608Metric,C23162
100k,"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R190,R191,R192,R193,R194,R195,R196,R202",R_0603_1608Metric,C25803
PCA9685PW (0x40),U101,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
PCA9685PW (0x41),U102,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
PCA9685PW (0x42),U103,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
PCA9685PW (0x43),U104,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
PCA9685PW (0x44),U105,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
PCA9685PW (0x45),U106,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
220uF 16V,C111,CP_Elec_6.3x7.7,C286136
0.39R 1%,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R5,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R7,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96",R_0805_2012Metric,C2930218
MODE,SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
UP,SW2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
DOWN,SW3,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
PT4115,"U1,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U3,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U4,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U5,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U6,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U7,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U8,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U9,U90,U91,U92,U93,U94,U95,U96",SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR,C347356
47uH 2A+,L101,L_Sunlord_SWPA6045S,C36414
2.2k,R203,R_0603_1608Metric,C4190
47uH,"L1,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L2,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L3,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L4,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L5,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L6,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L7,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L8,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L9,L90,L91,L92,L93,L94,L95,L96",L_Sunlord_SWPA4030S,C54731
XL1509-5.0E1,U110,SOIC-8_3.9x4.9mm_P1.27mm,C61063
FAULT red,LED3,LED_0805_2012Metric,C84256
SS34,"D1,D10,D101,D102,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96",D_SMA,C8678
