Designator,Mid X,Mid Y,Layer,Rotation
U1,60.7mm,-18.0mm,top,0.0
R1,56.9mm,-13.6mm,top,90.0
L1,63.9mm,-13.6mm,top,0.0
D1,63.3mm,-22.2mm,top,180.0
C1,56.7mm,-22.2mm,top,90.0
R101,60.65mm,-13.55mm,top,90.0
U2,72.7mm,-18.0mm,top,0.0
R2,68.9mm,-13.6mm,top,90.0
L2,75.9mm,-13.6mm,top,0.0
D2,75.3mm,-22.2mm,top,180.0
C2,68.7mm,-22.2mm,top,90.0
R102,72.65mm,-13.55mm,top,90.0
U3,84.7mm,-18.0mm,top,0.0
R3,80.9mm,-13.6mm,top,90.0
L3,87.9mm,-13.6mm,top,0.0
D3,87.3mm,-22.2mm,top,180.0
C3,80.7mm,-22.2mm,top,90.0
R103,84.65mm,-13.55mm,top,90.0
U4,96.7mm,-18.0mm,top,0.0
R4,92.9mm,-13.6mm,top,90.0
L4,99.9mm,-13.6mm,top,0.0
D4,99.3mm,-22.2mm,top,180.0
C4,92.7mm,-22.2mm,top,90.0
R104,96.65mm,-13.55mm,top,90.0
U5,108.7mm,-18.0mm,top,0.0
R5,104.9mm,-13.6mm,top,90.0
L5,111.9mm,-13.6mm,top,0.0
D5,111.3mm,-22.2mm,top,180.0
C5,104.7mm,-22.2mm,top,90.0
R105,108.65mm,-13.55mm,top,90.0
U6,120.7mm,-18.0mm,top,0.0
R6,116.9mm,-13.6mm,top,90.0
L6,123.9mm,-13.6mm,top,0.0
D6,123.3mm,-22.2mm,top,180.0
C6,116.7mm,-22.2mm,top,90.0
R106,120.65mm,-13.55mm,top,90.0
U7,132.7mm,-18.0mm,top,0.0
R7,128.9mm,-13.6mm,top,90.0
L7,135.9mm,-13.6mm,top,0.0
D7,135.3mm,-22.2mm,top,180.0
C7,128.7mm,-22.2mm,top,90.0
R107,132.65mm,-13.55mm,top,90.0
U8,144.7mm,-18.0mm,top,0.0
R8,140.9mm,-13.6mm,top,90.0
L8,147.9mm,-13.6mm,top,0.0
D8,147.3mm,-22.2mm,top,180.0
C8,140.7mm,-22.2mm,top,90.0
R108,144.65mm,-13.55mm,top,90.0
U9,156.7mm,-18.0mm,top,0.0
R9,152.9mm,-13.6mm,top,90.0
L9,159.9mm,-13.6mm,top,0.0
D9,159.3mm,-22.2mm,top,180.0
C9,152.7mm,-22.2mm,top,90.0
R109,156.65mm,-13.55mm,top,90.0
U10,168.7mm,-18.0mm,top,0.0
R10,164.9mm,-13.6mm,top,90.0
L10,171.9mm,-13.6mm,top,0.0
D10,171.3mm,-22.2mm,top,180.0
C10,164.7mm,-22.2mm,top,90.0
R110,168.65mm,-13.55mm,top,90.0
U11,180.7mm,-18.0mm,top,0.0
R11,176.9mm,-13.6mm,top,90.0
L11,183.9mm,-13.6mm,top,0.0
D11,183.3mm,-22.2mm,top,180.0
C11,176.7mm,-22.2mm,top,90.0
R111,180.65mm,-13.55mm,top,90.0
U12,192.7mm,-18.0mm,top,0.0
R12,188.9mm,-13.6mm,top,90.0
L12,195.9mm,-13.6mm,top,0.0
D12,195.3mm,-22.2mm,top,180.0
C12,188.7mm,-22.2mm,top,90.0
R112,192.65mm,-13.55mm,top,90.0
U13,60.7mm,-32.0mm,top,0.0
R13,56.9mm,-27.6mm,top,90.0
L13,63.9mm,-27.6mm,top,0.0
D13,63.3mm,-36.2mm,top,180.0
C13,56.7mm,-36.2mm,top,90.0
R113,60.65mm,-27.55mm,top,90.0
U14,72.7mm,-32.0mm,top,0.0
R14,68.9mm,-27.6mm,top,90.0
L14,75.9mm,-27.6mm,top,0.0
D14,75.3mm,-36.2mm,top,180.0
C14,68.7mm,-36.2mm,top,90.0
R114,72.65mm,-27.55mm,top,90.0
U15,84.7mm,-32.0mm,top,0.0
R15,80.9mm,-27.6mm,top,90.0
L15,87.9mm,-27.6mm,top,0.0
D15,87.3mm,-36.2mm,top,180.0
C15,80.7mm,-36.2mm,top,90.0
R115,84.65mm,-27.55mm,top,90.0
U16,96.7mm,-32.0mm,top,0.0
R16,92.9mm,-27.6mm,top,90.0
L16,99.9mm,-27.6mm,top,0.0
D16,99.3mm,-36.2mm,top,180.0
C16,92.7mm,-36.2mm,top,90.0
R116,96.65mm,-27.55mm,top,90.0
U17,108.7mm,-32.0mm,top,0.0
R17,104.9mm,-27.6mm,top,90.0
L17,111.9mm,-27.6mm,top,0.0
D17,111.3mm,-36.2mm,top,180.0
C17,104.7mm,-36.2mm,top,90.0
R117,108.65mm,-27.55mm,top,90.0
U18,120.7mm,-32.0mm,top,0.0
R18,116.9mm,-27.6mm,top,90.0
L18,123.9mm,-27.6mm,top,0.0
D18,123.3mm,-36.2mm,top,180.0
C18,116.7mm,-36.2mm,top,90.0
R118,120.65mm,-27.55mm,top,90.0
U19,132.7mm,-32.0mm,top,0.0
R19,128.9mm,-27.6mm,top,90.0
L19,135.9mm,-27.6mm,top,0.0
D19,135.3mm,-36.2mm,top,180.0
C19,128.7mm,-36.2mm,top,90.0
R119,132.65mm,-27.55mm,top,90.0
U20,144.7mm,-32.0mm,top,0.0
R20,140.9mm,-27.6mm,top,90.0
L20,147.9mm,-27.6mm,top,0.0
D20,147.3mm,-36.2mm,top,180.0
C20,140.7mm,-36.2mm,top,90.0
R120,144.65mm,-27.55mm,top,90.0
U21,156.7mm,-32.0mm,top,0.0
R21,152.9mm,-27.6mm,top,90.0
L21,159.9mm,-27.6mm,top,0.0
D21,159.3mm,-36.2mm,top,180.0
C21,152.7mm,-36.2mm,top,90.0
R121,156.65mm,-27.55mm,top,90.0
U22,168.7mm,-32.0mm,top,0.0
R22,164.9mm,-27.6mm,top,90.0
L22,171.9mm,-27.6mm,top,0.0
D22,171.3mm,-36.2mm,top,180.0
C22,164.7mm,-36.2mm,top,90.0
R122,168.65mm,-27.55mm,top,90.0
U23,180.7mm,-32.0mm,top,0.0
R23,176.9mm,-27.6mm,top,90.0
L23,183.9mm,-27.6mm,top,0.0
D23,183.3mm,-36.2mm,top,180.0
C23,176.7mm,-36.2mm,top,90.0
R123,180.65mm,-27.55mm,top,90.0
U24,192.7mm,-32.0mm,top,0.0
R24,188.9mm,-27.6mm,top,90.0
L24,195.9mm,-27.6mm,top,0.0
D24,195.3mm,-36.2mm,top,180.0
C24,188.7mm,-36.2mm,top,90.0
R124,192.65mm,-27.55mm,top,90.0
U25,60.7mm,-46.0mm,top,0.0
R25,56.9mm,-41.6mm,top,90.0
L25,63.9mm,-41.6mm,top,0.0
D25,63.3mm,-50.2mm,top,180.0
C25,56.7mm,-50.2mm,top,90.0
R125,60.65mm,-41.55mm,top,90.0
U26,72.7mm,-46.0mm,top,0.0
R26,68.9mm,-41.6mm,top,90.0
L26,75.9mm,-41.6mm,top,0.0
D26,75.3mm,-50.2mm,top,180.0
C26,68.7mm,-50.2mm,top,90.0
