Designator,Mid X,Mid Y,Layer,Rotation
LED1,99.88mm,-48.69mm,top,0.0
TH1,103.48mm,-46.69mm,top,90.0
R1,103.48mm,-50.69mm,top,90.0
LED2,108.88mm,-48.69mm,top,0.0
TH2,112.48mm,-46.69mm,top,90.0
R2,112.48mm,-50.69mm,top,90.0
LED3,117.88mm,-48.69mm,top,0.0
TH3,121.48mm,-46.69mm,top,90.0
R3,121.48mm,-50.69mm,top,90.0
LED4,126.88mm,-48.69mm,top,0.0
TH4,130.48mm,-46.69mm,top,90.0
R4,130.48mm,-50.69mm,top,90.0
LED5,135.88mm,-48.69mm,top,0.0
TH5,139.48mm,-46.69mm,top,90.0
R5,139.48mm,-50.69mm,top,90.0
LED6,144.88mm,-48.69mm,top,0.0
TH6,148.48mm,-46.69mm,top,90.0
R6,148.48mm,-50.69mm,top,90.0
LED7,153.88mm,-48.69mm,top,0.0
TH7,157.48mm,-46.69mm,top,90.0
R7,157.48mm,-50.69mm,top,90.0
LED8,162.88mm,-48.69mm,top,0.0
TH8,166.48mm,-46.69mm,top,90.0
R8,166.48mm,-50.69mm,top,90.0
LED9,171.88mm,-48.69mm,top,0.0
TH9,175.48mm,-46.69mm,top,90.0
R9,175.48mm,-50.69mm,top,90.0
LED10,180.88mm,-48.69mm,top,0.0
TH10,184.48mm,-46.69mm,top,90.0
R10,184.48mm,-50.69mm,top,90.0
LED11,189.88mm,-48.69mm,top,0.0
TH11,193.48mm,-46.69mm,top,90.0
R11,193.48mm,-50.69mm,top,90.0
LED12,198.88mm,-48.69mm,top,0.0
TH12,202.48mm,-46.69mm,top,90.0
R12,202.48mm,-50.69mm,top,90.0
LED13,99.88mm,-57.69mm,top,0.0
TH13,103.48mm,-55.69mm,top,90.0
R13,103.48mm,-59.69mm,top,90.0
LED14,108.88mm,-57.69mm,top,0.0
TH14,112.48mm,-55.69mm,top,90.0
R14,112.48mm,-59.69mm,top,90.0
LED15,117.88mm,-57.69mm,top,0.0
TH15,121.48mm,-55.69mm,top,90.0
R15,121.48mm,-59.69mm,top,90.0
LED16,126.88mm,-57.69mm,top,0.0
TH16,130.48mm,-55.69mm,top,90.0
R16,130.48mm,-59.69mm,top,90.0
LED17,135.88mm,-57.69mm,top,0.0
TH17,139.48mm,-55.69mm,top,90.0
R17,139.48mm,-59.69mm,top,90.0
LED18,144.88mm,-57.69mm,top,0.0
TH18,148.48mm,-55.69mm,top,90.0
R18,148.48mm,-59.69mm,top,90.0
LED19,153.88mm,-57.69mm,top,0.0
TH19,157.48mm,-55.69mm,top,90.0
R19,157.48mm,-59.69mm,top,90.0
LED20,162.88mm,-57.69mm,top,0.0
TH20,166.48mm,-55.69mm,top,90.0
R20,166.48mm,-59.69mm,top,90.0
LED21,171.88mm,-57.69mm,top,0.0
TH21,175.48mm,-55.69mm,top,90.0
R21,175.48mm,-59.69mm,top,90.0
LED22,180.88mm,-57.69mm,top,0.0
TH22,184.48mm,-55.69mm,top,90.0
R22,184.48mm,-59.69mm,top,90.0
LED23,189.88mm,-57.69mm,top,0.0
TH23,193.48mm,-55.69mm,top,90.0
R23,193.48mm,-59.69mm,top,90.0
LED24,198.88mm,-57.69mm,top,0.0
TH24,202.48mm,-55.69mm,top,90.0
R24,202.48mm,-59.69mm,top,90.0
LED25,99.88mm,-66.69mm,top,0.0
TH25,103.48mm,-64.69mm,top,90.0
R25,103.48mm,-68.69mm,top,90.0
LED26,108.88mm,-66.69mm,top,0.0
TH26,112.48mm,-64.69mm,top,90.0
R26,112.48mm,-68.69mm,top,90.0
LED27,117.88mm,-66.69mm,top,0.0
TH27,121.48mm,-64.69mm,top,90.0
R27,121.48mm,-68.69mm,top,90.0
LED28,126.88mm,-66.69mm,top,0.0
TH28,130.48mm,-64.69mm,top,90.0
R28,130.48mm,-68.69mm,top,90.0
LED29,135.88mm,-66.69mm,top,0.0
TH29,139.48mm,-64.69mm,top,90.0
R29,139.48mm,-68.69mm,top,90.0
LED30,144.88mm,-66.69mm,top,0.0
TH30,148.48mm,-64.69mm,top,90.0
R30,148.48mm,-68.69mm,top,90.0
LED31,153.88mm,-66.69mm,top,0.0
TH31,157.48mm,-64.69mm,top,90.0
R31,157.48mm,-68.69mm,top,90.0
LED32,162.88mm,-66.69mm,top,0.0
TH32,166.48mm,-64.69mm,top,90.0
R32,166.48mm,-68.69mm,top,90.0
LED33,171.88mm,-66.69mm,top,0.0
TH33,175.48mm,-64.69mm,top,90.0
R33,175.48mm,-68.69mm,top,90.0
LED34,180.88mm,-66.69mm,top,0.0
TH34,184.48mm,-64.69mm,top,90.0
R34,184.48mm,-68.69mm,top,90.0
LED35,189.88mm,-66.69mm,top,0.0
TH35,193.48mm,-64.69mm,top,90.0
R35,193.48mm,-68.69mm,top,90.0
LED36,198.88mm,-66.69mm,top,0.0
TH36,202.48mm,-64.69mm,top,90.0
R36,202.48mm,-68.69mm,top,90.0
LED37,99.88mm,-75.69mm,top,0.0
TH37,103.48mm,-73.69mm,top,90.0
R37,103.48mm,-77.69mm,top,90.0
